malloc at newEnv
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at lambda
malloc at newLambdaValue
malloc at newEnv
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newList
malloc at newList
malloc at newList
malloc at newList
malloc at newListNode
malloc at newEnv
malloc at newEnv
malloc at newEnv
malloc at newList
malloc at newListNode
malloc at newList
malloc at newListNode
malloc at newList
malloc at newListNode
malloc at newList
malloc at newListNode
malloc at newList
malloc at newListNode
malloc at newList
malloc at newListNode
malloc at lambda
malloc at newLambdaValue
malloc at newEnv
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at newList
malloc at newListNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
malloc at newAtomNode
malloc at parseAtom
